Design No.,Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME Coupling coefficient
1,7.717,0.126,-2.181,-6.726,7.013,9.997,-3.674,7.839,1.013,4.768,-3.95,5.383,7.873,1.803,-8.11,3.372,11.216,-4.139,7.234,-5.92,-2.612,16.428,2.466,-2.022,-6.15,-14.518,-0.865,-9.272,0.14,2.465,211.64
2,5.446,-1.53,-2.223,-8.299,8.075,10.117,-3.569,5.47,1.936,2.842,-2.862,4.428,7.192,2.609,-6.947,2.206,12.481,-3.908,8.846,-4.871,-1.387,14.06,2.986,-3.371,-5.988,-15.907,-0.084,-8.477,0.36,2.935,698.37
3,6.704,1.287,-2.064,-5.909,6.738,9.916,-4.458,7.421,0.535,4.467,-1.579,5.087,7.441,2.699,-9.449,3.787,12.759,-5.56,6.455,-7.38,-2.3,15.336,4.276,-4.443,-5.918,-13.456,-1.501,-10.434,1.154,1.742,828.38
4,7.252,0.8,-2.843,-6.712,7.379,11.784,-4.289,5.427,-1.734,2.631,-2.422,6.157,7.306,0.789,-7.552,2.733,12.443,-4.564,8.88,-6.151,-2.72,13.711,1.834,-3.087,-6.185,-13.546,-1.072,-9.238,0.491,0.898,456.45
5,6.437,1.284,-1.916,-5.63,6.484,9.507,-4.295,7.163,0.485,4.32,-1.476,4.897,7.147,2.599,-9.121,3.67,12.288,-5.367,6.126,-7.123,-2.217,14.701,4.167,-4.359,-5.669,-12.918,-1.465,-10.067,1.143,1.651,600.84
6,8.49,0.209,-4.154,-6.266,6.77,10.234,-4.561,6.045,1.562,4.455,-0.462,4.909,6.164,1.913,-8.369,1.986,9.65,-5.709,9.227,-6.774,-2.565,16.093,3.066,-1.433,-7.633,-12.584,-1.829,-9.64,0.043,2.015,330.32
7,7.538,2.031,-4.606,-6.54,8.08,9.213,-4.31,6.711,1.496,3.457,-2.97,6.139,9.559,2.274,-8.598,2.507,10.98,-4.085,7.47,-5.281,-2.935,16.554,2.223,-1.678,-4.891,-13.664,-1.597,-8.159,0.943,0.698,627.42
8,5.703,0.247,-2.788,-5.613,6.929,10.295,-4.255,6.31,2.649,3.632,-1.642,5.75,6.701,2.524,-9.91,4.724,10.901,-6.542,8.84,-6.485,-1.334,16.097,2.864,-0.587,-3.957,-14.745,-0.695,-9.665,-1.126,2.559,1052.04
9,5.712,-1.527,-2.372,-8.578,8.329,10.526,-3.732,5.728,1.986,2.989,-2.964,4.618,7.486,2.709,-7.275,2.322,12.953,-4.1,9.175,-5.128,-1.47,14.695,3.096,-3.454,-6.237,-16.445,-0.12,-8.844,0.371,3.027,694.11
10,7.806,2.034,-4.756,-6.821,8.336,9.625,-4.475,6.972,1.546,3.606,-3.073,6.331,9.855,2.375,-8.928,2.624,11.456,-4.279,7.802,-5.54,-3.02,17.195,2.333,-1.762,-5.142,-14.207,-1.633,-8.529,0.954,0.79,698.83
