Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred
8.187,1.060,-3.501,-6.091,6.156,9.918,-2.938,5.757,1.233,2.995,-2.435,5.666,6.795,2.409,-9.393,2.097,13.263,-5.779,9.342,-5.751,-3.143,18.425,2.738,-2.894,-8.545,-14.308,-2.631,-7.620,-2.550,3.555,721.067
8.246,0.458,-4.823,-5.763,6.905,11.101,-4.049,8.297,1.497,3.268,-3.223,5.756,7.681,2.213,-9.035,3.352,12.416,-6.167,9.139,-5.926,-2.700,16.812,2.890,-3.987,-7.602,-14.467,-2.276,-10.281,1.192,2.212,708.2531
7.921,1.057,-3.353,-5.812,5.902,9.510,-2.774,5.498,1.183,2.848,-2.332,5.476,6.500,2.309,-9.065,1.981,12.792,-5.586,9.013,-5.494,-3.060,17.790,2.629,-2.811,-8.295,-13.769,-2.596,-7.253,-2.561,3.464,697.5927
7.919,1.057,-3.351,-5.810,5.900,9.506,-2.773,5.496,1.182,2.846,-2.332,5.474,6.498,2.309,-9.062,1.980,12.788,-5.584,9.010,-5.492,-3.059,17.784,2.628,-2.810,-8.293,-13.765,-2.595,-7.250,-2.561,3.463,697.4037
8.051,0.083,-3.505,-8.044,7.818,13.517,-4.407,6.506,1.777,2.336,-2.824,4.064,6.760,3.429,-9.068,2.903,13.290,-4.552,8.568,-6.506,-3.045,17.188,2.033,-0.772,-5.923,-12.219,-1.734,-11.234,1.927,3.338,697.326
7.916,1.057,-3.350,-5.807,5.898,9.502,-2.771,5.494,1.182,2.845,-2.331,5.472,6.495,2.308,-9.059,1.979,12.783,-5.582,9.007,-5.489,-3.058,17.778,2.627,-2.809,-8.291,-13.760,-2.595,-7.247,-2.561,3.462,697.1672
6.168,0.778,-3.807,-8.228,6.349,11.406,-4.009,7.494,1.770,4.532,-3.640,5.899,9.580,1.099,-9.694,4.610,12.722,-4.372,8.303,-7.368,-3.126,14.626,2.748,-3.562,-6.396,-14.928,-0.381,-9.670,-1.320,3.043,690.0829
7.519,0.803,-2.992,-6.990,7.633,12.192,-4.452,5.686,-1.684,2.778,-2.524,6.347,7.600,0.889,-7.880,2.850,12.915,-4.757,9.209,-6.408,-2.804,14.346,1.943,-3.170,-6.435,-14.084,-1.108,-9.604,0.502,0.990,689.21686
7.192,-0.624,-2.446,-7.606,8.769,10.509,-4.743,6.170,0.645,3.116,-3.996,5.806,7.645,3.301,-9.577,1.897,11.640,-4.456,7.195,-6.744,-1.960,17.361,2.336,-2.075,-6.155,-15.812,-1.850,-10.029,-1.972,2.393,688.5328
7.980,0.455,-4.674,-5.485,6.652,10.693,-3.885,8.038,1.447,3.121,-3.121,5.566,7.386,2.113,-8.707,3.235,11.944,-5.974,8.810,-5.669,-2.616,16.177,2.780,-3.903,-7.353,-13.928,-2.240,-9.915,1.181,2.121,684.6752
7.978,0.455,-4.673,-5.483,6.650,10.689,-3.884,8.036,1.447,3.120,-3.120,5.564,7.384,2.113,-8.704,3.235,11.940,-5.973,8.807,-5.667,-2.616,16.172,2.779,-3.902,-7.351,-13.924,-2.240,-9.912,1.181,2.120,684.4854
7.975,0.455,-4.671,-5.480,6.647,10.685,-3.882,8.034,1.446,3.118,-3.119,5.562,7.381,2.112,-8.701,3.233,11.936,-5.971,8.804,-5.664,-2.615,16.165,2.778,-3.902,-7.348,-13.919,-2.240,-9.908,1.181,2.119,684.24774
6.883,0.720,-6.101,-8.359,9.004,11.564,-5.942,7.082,1.979,4.028,-4.504,4.172,7.595,4.036,-8.932,3.005,11.552,-5.288,7.926,-5.957,-2.316,16.612,1.611,-2.162,-7.228,-13.274,-2.337,-8.906,0.476,3.368,681.5554
7.784,0.081,-3.356,-7.765,7.565,13.108,-4.244,6.248,1.727,2.188,-2.722,3.873,6.465,3.329,-8.740,2.786,12.819,-4.359,8.239,-6.249,-2.961,16.552,1.924,-0.688,-5.674,-11.681,-1.698,-10.868,1.916,3.247,674.0244
5.752,-0.204,-3.333,-8.148,5.720,11.573,-2.940,6.545,0.816,2.237,-1.057,6.520,6.526,3.706,-7.887,3.015,13.032,-5.457,7.654,-4.945,-2.739,15.497,2.537,-2.773,-5.843,-12.114,-2.553,-10.313,0.825,1.890,673.9735
7.782,0.081,-3.355,-7.763,7.562,13.105,-4.243,6.246,1.726,2.187,-2.721,3.872,6.463,3.328,-8.738,2.786,12.815,-4.357,8.236,-6.247,-2.961,16.547,1.923,-0.688,-5.672,-11.677,-1.698,-10.865,1.916,3.246,673.837
7.780,0.081,-3.354,-7.760,7.560,13.101,-4.241,6.243,1.726,2.186,-2.720,3.870,6.460,3.327,-8.734,2.784,12.810,-4.355,8.233,-6.244,-2.960,16.541,1.922,-0.687,-5.669,-11.671,-1.697,-10.861,1.916,3.245,673.60205
6.912,0.182,-1.790,-9.028,7.988,10.394,-5.132,9.199,-0.366,3.801,-2.334,4.839,7.223,2.504,-8.627,3.264,11.747,-4.766,8.598,-8.592,-2.147,17.490,2.649,-3.601,-5.202,-15.300,-2.748,-9.778,-1.755,-0.016,672.22314
7.133,-0.176,-3.934,-6.643,7.496,12.190,-4.847,5.929,0.536,1.350,-1.952,4.912,9.295,2.922,-9.448,3.845,10.767,-5.520,7.269,-7.637,-2.516,14.929,2.347,-2.036,-6.024,-12.848,0.129,-9.324,0.102,0.980,667.2466
5.902,0.775,-3.658,-7.949,6.096,10.997,-3.846,7.235,1.720,4.384,-3.537,5.709,9.286,1.000,-9.366,4.494,12.251,-4.179,7.974,-7.111,-3.042,13.991,2.639,-3.478,-6.146,-14.390,-0.345,-9.303,-1.331,2.952,666.7797
5.900,0.775,-3.657,-7.947,6.094,10.994,-3.845,7.233,1.720,4.383,-3.537,5.708,9.283,0.999,-9.363,4.493,12.247,-4.177,7.971,-7.109,-3.042,13.986,2.638,-3.478,-6.144,-14.385,-0.345,-9.300,-1.331,2.951,666.59235
5.897,0.775,-3.655,-7.944,6.091,10.990,-3.843,7.231,1.719,4.382,-3.536,5.706,9.280,0.998,-9.360,4.492,12.242,-4.175,7.968,-7.107,-3.041,13.979,2.637,-3.477,-6.142,-14.380,-0.345,-9.296,-1.331,2.950,666.3573
7.252,0.800,-2.843,-6.712,7.379,11.784,-4.289,5.427,-1.734,2.631,-2.422,6.157,7.306,0.789,-7.552,2.733,12.443,-4.564,8.880,-6.151,-2.720,13.711,1.834,-3.087,-6.185,-13.546,-1.072,-9.238,0.491,0.898,665.6548
7.250,0.800,-2.842,-6.710,7.377,11.781,-4.287,5.425,-1.734,2.629,-2.421,6.156,7.303,0.788,-7.549,2.733,12.439,-4.562,8.878,-6.149,-2.719,13.706,1.833,-3.086,-6.183,-13.542,-1.072,-9.235,0.491,0.898,665.4655
7.806,2.034,-4.756,-6.821,8.336,9.625,-4.475,6.972,1.546,3.606,-3.073,6.331,9.855,2.375,-8.928,2.624,11.456,-4.279,7.802,-5.540,-3.020,17.195,2.333,-1.762,-5.142,-14.207,-1.633,-8.529,0.954,0.790,665.32227
7.248,0.800,-2.840,-6.707,7.374,11.776,-4.286,5.423,-1.734,2.628,-2.420,6.154,7.300,0.787,-7.546,2.731,12.434,-4.560,8.874,-6.146,-2.719,13.699,1.832,-3.085,-6.181,-13.536,-1.071,-9.231,0.490,0.897,665.22833
6.926,-0.627,-2.297,-7.328,8.516,10.100,-4.579,5.911,0.595,2.969,-3.893,5.616,7.351,3.201,-9.249,1.781,11.169,-4.263,6.866,-6.487,-1.877,16.726,2.226,-1.992,-5.906,-15.274,-1.814,-9.662,-1.983,2.302,665.1824
