Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient_pred
1.718,5.008,-2.115,-3.154,6.796,6.605,-2.855,4.78,4.35,2.088,-2.317,0.467,4.94,0.179,-3.781,3.083,6.584,-2.103,6.095,-4.493,-1.223,12.211,4.231,-0.753,-1.779,-11.42,0.478,-6.642,0.28,4.591,1600.2644
2.976,6.458,-3.6,-4.368,9.172,8.441,-3.752,6.476,5.549,3.535,-3.139,0.831,6.594,0.028,-5.501,3.933,9.379,-2.826,8.464,-5.554,-2.142,16.28,5.208,-0.814,-2.603,-15.08,0.066,-8.418,0.516,5.65,1578.042
2.992,6.476,-3.621,-4.386,9.203,8.465,-3.762,6.501,5.573,3.558,-3.157,0.84,6.619,0.026,-5.52,3.948,9.422,-2.836,8.498,-5.564,-2.152,16.334,5.223,-0.814,-2.613,-15.128,0.058,-8.44,0.523,5.668,1575.9379
4.988,6.749,-8.312,-4.788,11.872,10.478,-4.436,10.473,6.765,7.486,-5.132,2.106,9.989,-0.785,-9.206,3.946,13.741,-4.772,12.337,-5.235,-3.248,18.189,5.116,-0.355,-2.141,-19.758,-2.722,-8.93,0.969,4.465,1534.9724
4.831,6.568,-8.127,-4.637,11.575,10.248,-4.324,10.261,6.615,7.305,-5.03,2.06,9.782,-0.766,-8.992,3.84,13.392,-4.682,12.041,-5.102,-3.133,17.681,4.994,-0.347,-2.038,-19.3,-2.671,-8.709,0.939,4.333,1511.6104
3.585,7.161,-4.318,-4.955,10.323,9.33,-4.187,7.297,6.128,4.235,-3.536,1.007,7.393,-0.045,-6.334,4.344,10.731,-3.176,9.611,-6.068,-2.587,18.25,5.68,-0.844,-3.002,-16.852,-0.133,-9.277,0.63,6.162,1496.4952
4.317,8.004,-5.182,-5.661,11.705,10.399,-4.71,8.284,6.826,5.077,-4.015,1.219,8.356,-0.132,-7.336,4.838,12.357,-3.597,10.989,-6.685,-3.121,20.618,6.248,-0.88,-3.482,-18.982,-0.372,-10.31,0.768,6.779,1480.7041
4.16,7.823,-4.997,-5.509,11.408,10.169,-4.598,8.072,6.677,4.897,-3.912,1.173,8.149,-0.114,-7.121,4.732,12.008,-3.506,10.694,-6.553,-3.007,20.109,6.126,-0.872,-3.379,-18.525,-0.321,-10.089,0.738,6.647,1475.2295
7.043,8.023,-6.942,-6.907,11.998,10.202,-5.384,8.233,5.946,6.89,-4.345,3.342,10.081,-0.915,-8.548,6.05,13.264,-3.817,13.318,-3.701,-5.492,18.407,7.487,-1.345,-3.998,-19.289,-3.022,-8.686,0.889,5.48,1432.7787
0.162,3.214,-0.279,-1.654,3.856,4.333,-1.743,2.682,2.868,0.299,-1.302,0.018,2.895,0.365,-1.651,2.033,3.127,-1.208,3.164,-3.18,-0.086,7.176,3.024,-0.677,-0.758,-6.89,0.987,-4.444,-0.011,3.281,1414.7422
